Date,Product,Quantity,Revenue
2023-01-01,Product A,202,10908
2023-01-04,Product A,192,9792
2023-01-08,Product A,114,5814
2023-01-11,Product A,206,10918
2023-01-15,Product A,171,9234
2023-01-18,Product A,120,6480
2023-01-22,Product A,202,9494
2023-01-25,Product A,221,11271
2023-01-29,Product A,174,7830
2023-02-01,Product A,187,8976
2023-02-05,Product A,216,10368
2023-02-08,Product A,199,9751
2023-02-12,Product A,203,10353
2023-02-15,Product A,230,11730
2023-02-19,Product A,249,11952
2023-02-22,Product A,152,7752
2023-02-26,Product A,101,4747
2023-03-01,Product A,187,9350
2023-03-05,Product A,137,6302
2023-03-08,Product A,229,12366
2023-03-12,Product A,120,6360
2023-03-15,Product A,157,7693
2023-03-19,Product A,121,6050
2023-03-22,Product A,188,9024
2023-03-26,Product A,148,7992
2023-03-29,Product A,158,8058
2023-04-02,Product A,114,6042
2023-04-05,Product A,150,7650
2023-04-09,Product A,207,9315
2023-04-12,Product A,154,6930
2023-04-16,Product A,163,8639
2023-04-19,Product A,230,12190
2023-04-23,Product A,150,7200
2023-04-26,Product A,234,12402
2023-04-30,Product A,120,5640
2023-05-03,Product A,172,8772
2023-05-07,Product A,117,5850
2023-05-10,Product A,231,12012
2023-05-14,Product A,188,9964
2023-05-17,Product A,159,7791
2023-05-21,Product A,113,5085
2023-05-24,Product A,108,5076
2023-05-28,Product A,189,10206
2023-05-31,Product A,152,7904
2023-06-04,Product A,229,11450
2023-06-07,Product A,183,9516
2023-06-11,Product A,191,10123
2023-06-14,Product A,210,10080
2023-06-18,Product A,107,4815
2023-06-21,Product A,134,6030
2023-06-25,Product A,180,9720
2023-06-28,Product A,149,7152
2023-07-02,Product A,203,10353
2023-07-05,Product A,231,10626
2023-07-09,Product A,101,4747
2023-07-12,Product A,233,10485
2023-07-16,Product A,153,7497
2023-07-19,Product A,205,9225
2023-07-23,Product A,103,5356
2023-07-26,Product A,153,6885
2023-07-30,Product A,245,11025
2023-08-02,Product A,143,6578
2023-08-06,Product A,113,5198
2023-08-09,Product A,194,9700
2023-08-13,Product A,147,7497
2023-08-16,Product A,114,5586
2023-08-20,Product A,139,6255
2023-08-23,Product A,181,8145
2023-08-27,Product A,210,9870
2023-08-30,Product A,152,6992
2023-09-03,Product A,123,6027
2023-09-06,Product A,223,12042
2023-09-10,Product A,140,7000
2023-09-13,Product A,114,5814
2023-09-17,Product A,144,6912
2023-09-20,Product A,164,8364
2023-09-24,Product A,188,9776
2023-09-27,Product A,170,7650
2023-10-01,Product A,108,5400
2023-10-04,Product A,187,9724
2023-10-08,Product A,228,11172
2023-10-11,Product A,235,11280
2023-10-15,Product A,162,7452
2023-10-18,Product A,238,11900
2023-10-22,Product A,180,9000
2023-10-25,Product A,235,10575
2023-10-29,Product A,132,6996
2023-11-01,Product A,222,11100
2023-11-05,Product A,104,4888
2023-11-08,Product A,140,6720
2023-11-12,Product A,127,6096
2023-11-15,Product A,234,10998
2023-11-19,Product A,171,9234
2023-11-22,Product A,111,5217
2023-11-26,Product A,132,6204
2023-11-29,Product A,147,7056
2023-12-03,Product A,161,8211
2023-12-06,Product A,136,6528
2023-12-10,Product A,198,10494
2023-12-13,Product A,203,9135
2023-12-17,Product A,134,6968
2023-12-20,Product A,200,10200
2023-12-24,Product A,230,10580
2023-12-27,Product A,100,5200
2023-12-31,Product A,104,4680
